id,date,rxl,cid,lac,rnc
27891,1259994590036,-93,16537,27,0
27892,1259994590377,-93,16537,27,0
27893,1259994590716,-93,16537,27,0
27894,1259994591037,-93,16537,27,0
27895,1259994591376,-93,16537,27,0
27896,1259994591717,-93,16537,27,0
27897,1259994592046,-93,16537,27,0
27898,1259994592386,-93,16537,27,0
27899,1259994592720,-93,16537,27,0
27900,1259994593056,-93,16537,27,0
27901,1259994593386,-93,16537,27,0
27902,1259994593724,-93,16537,27,0
27903,1259994594066,-93,16537,27,0
27904,1259994594397,-93,16537,27,0
27905,1259994594725,-93,16537,27,0
27906,1259994595066,-93,16537,27,0
27907,1259994595406,-93,16537,27,0
27908,1259994595734,-93,16537,27,0
27909,1259994596066,-93,16537,27,0
27910,1259994596406,-93,16537,27,0
27911,1259994596734,-93,16537,27,0
27912,1259994597077,-93,16537,27,0
27913,1259994597416,-93,16537,27,0
27914,1259994597734,-93,16537,27,0
27915,1259994598076,-93,16537,27,0
27916,1259994598417,-93,16537,27,0
27917,1259994598744,-93,16537,27,0
27918,1259994599087,-93,16537,27,0
27919,1259994599416,-93,16537,27,0
27920,1259994599744,-93,16537,27,0
27921,1259994600115,-93,16537,27,0
27922,1259994600417,-93,16537,27,0
27923,1259994600744,-93,16537,27,0
27924,1259994601086,-93,16537,27,0
27925,1259994601426,-93,16537,27,0
27926,1259994601744,-93,16537,27,0
27927,1259994602087,-93,16537,27,0
27928,1259994602426,-93,16537,27,0
27929,1259994602754,-93,16537,27,0
27930,1259994603096,-93,16537,27,0
27931,1259994603426,-93,16537,27,0
27932,1259994603754,-93,16537,27,0
27933,1259994604096,-93,16537,27,0
27934,1259994604427,-93,16537,27,0
27935,1259994604764,-93,16537,27,0
27936,1259994605097,-93,16537,27,0
27937,1259994605436,-93,16537,27,0
27938,1259994605884,-93,16537,27,0
27939,1259994606216,-93,16537,27,0
27940,1259994606546,-93,16537,27,0
27941,1259994606886,-93,16537,27,0
27942,1259994607217,-93,16537,27,0
27943,1259994607556,-93,16537,27,0
27944,1259994607886,-93,16537,27,0
27945,1259994608227,-93,16537,27,0
27946,1259994608557,-93,16537,27,0
27947,1259994608886,-93,16537,27,0
27948,1259994609226,-93,16537,27,0
27949,1259994609556,-93,16537,27,0
27950,1259994609897,-93,16537,27,0
27951,1259994610226,-93,16537,27,0
27952,1259994610567,-93,16537,27,0
27953,1259994610896,-93,16537,27,0
27954,1259994611236,-93,16537,27,0
27955,1259994611566,-93,16537,27,0
27956,1259994611906,-93,16537,27,0
27957,1259994612236,-93,16537,27,0
27958,1259994612577,-93,16537,27,0
27959,1259994612907,-93,16537,27,0
27960,1259994613237,-93,16537,27,0
27961,1259994613577,-93,16537,27,0
27962,1259994613907,-93,16537,27,0
